#sample_a	sample_b	relatedness	hets_a	hom_alts_a	hets_b	hom_alts_b
Data2Cohort_P01_S1	Data2Cohort_P02_S1	0.113	4730	2187	3782	2475
Data2Cohort_P01_S1	Data2Cohort_P03_S1	0.012	4284	2031	2144	1148
Data2Cohort_P01_S1	Data2Cohort_P04_S1	0.155	3637	1560	3181	1041
Data2Cohort_P01_S1	Data2Cohort_P05_S1	0.124	3434	1035	2935	1034
Data2Cohort_P01_S1	Data2Cohort_P06_S1	0.018	3042	2097	3298	1183
Data2Cohort_P01_S1	Data2Cohort_P07_S1	0.046	3705	1279	3078	1983
Data2Cohort_P01_S1	Data2Cohort_P08_S1	0.24	4852	2520	4241	2883
Data2Cohort_P01_S1	Data2Cohort_P09_S1	0.394	2784	1807	4857	3199
Data2Cohort_P01_S1	Data2Cohort_P10_S1	0.13	2320	1496	2657	918
Data2Cohort_P01_S1	Data2Cohort_P11_S1	0.196	2761	1503	4480	2766
Data2Cohort_P01_S1	Data2Cohort_P12_S1	0.047	2543	764	2082	628
Data2Cohort_P02_S1	Data2Cohort_P03_S1	0.37	3594	1544	4843	2805
Data2Cohort_P02_S1	Data2Cohort_P04_S1	0.212	4407	2857	4935	2481
Data2Cohort_P02_S1	Data2Cohort_P05_S1	0.174	3438	1728	4441	1811
Data2Cohort_P02_S1	Data2Cohort_P06_S1	0.311	2532	1676	4005	2218
Data2Cohort_P02_S1	Data2Cohort_P07_S1	0.073	3191	2216	2893	2022
Data2Cohort_P02_S1	Data2Cohort_P08_S1	0.247	4443	1892	4560	2289
Data2Cohort_P02_S1	Data2Cohort_P09_S1	0.054	4824	1472	4539	3056
Data2Cohort_P02_S1	Data2Cohort_P10_S1	0.241	2520	1170	3132	1179
Data2Cohort_P02_S1	Data2Cohort_P11_S1	0.153	3065	1869	4603	2273
Data2Cohort_P02_S1	Data2Cohort_P12_S1	0.096	4115	2802	3612	2000
Data2Cohort_P03_S1	Data2Cohort_P04_S1	0.127	4878	2881	3733	1422
Data2Cohort_P03_S1	Data2Cohort_P05_S1	0.047	3283	1663	2047	966
Data2Cohort_P03_S1	Data2Cohort_P06_S1	0.168	2408	1429	4734	2690
Data2Cohort_P03_S1	Data2Cohort_P07_S1	0.094	4441	2843	3919	2464
Data2Cohort_P03_S1	Data2Cohort_P08_S1	0.067	4421	2774	3662	1624
Data2Cohort_P03_S1	Data2Cohort_P09_S1	0.023	4724	2781	4040	2211
