#sample_a	sample_b	relatedness	hets_a	hom_alts_a	hets_b	hom_alts_b
SynCohort_P01_S1	SynCohort_P02_S1	0.11	2449	1600	4766	3035
SynCohort_P01_S1	SynCohort_P03_S1	0.151	3863	1674	2849	1614
SynCohort_P01_S1	SynCohort_P04_S1	0.085	2675	1868	4009	1573
SynCohort_P01_S1	SynCohort_P05_S1	0.194	4553	1600	2568	1755
SynCohort_P01_S1	SynCohort_P06_S1	0.173	2935	913	2302	1198
SynCohort_P01_S1	SynCohort_P07_S1	0.01	4360	1330	2651	1307
SynCohort_P01_S1	SynCohort_P08_S1	0.183	3676	1428	2584	1736
SynCohort_P01_S1	SynCohort_P09_S1	0.055	4428	2562	2182	857
SynCohort_P01_S1	SynCohort_P10_S1	0.047	4972	1556	4911	2932
SynCohort_P01_S1	SynCohort_P11_S1	0.077	2845	1270	2761	856
SynCohort_P01_S1	SynCohort_P12_S1	0.024	2536	1282	4278	1702
SynCohort_P01_S1	SynCohort_P13_S1	0.18	4163	2843	3183	2063
SynCohort_P01_S1	SynCohort_P14_S1	0.19	2047	699	2756	1247
SynCohort_P02_S1	SynCohort_P03_S1	0.257	4925	1738	4390	1646
SynCohort_P02_S1	SynCohort_P04_S1	0.028	3356	1837	2721	986
SynCohort_P02_S1	SynCohort_P05_S1	0.026	2146	912	2449	1526
SynCohort_P02_S1	SynCohort_P06_S1	0.061	2602	1290	2536	1583
SynCohort_P02_S1	SynCohort_P07_S1	0.304	2315	1426	4814	2499
SynCohort_P02_S1	SynCohort_P08_S1	0.062	2045	626	3677	1535
SynCohort_P02_S1	SynCohort_P09_S1	0.264	4797	2201	4187	2398
SynCohort_P02_S1	SynCohort_P10_S1	0.127	2573	1465	3204	2042
SynCohort_P02_S1	SynCohort_P11_S1	0.226	4911	2823	2679	1765
SynCohort_P02_S1	SynCohort_P12_S1	0.051	3063	2027	2519	1679
SynCohort_P02_S1	SynCohort_P13_S1	0.057	4797	3189	4972	2116
SynCohort_P02_S1	SynCohort_P14_S1	0.143	2406	976	4663	2942
SynCohort_P03_S1	SynCohort_P04_S1	0.129	4563	3167	2238	960
SynCohort_P03_S1	SynCohort_P05_S1	0.018	4289	1403	3522	1541
SynCohort_P03_S1	SynCohort_P06_S1	0.259	3921	1993	4672	2165
SynCohort_P03_S1	SynCohort_P07_S1	0.104	4454	2912	4327	1540
SynCohort_P03_S1	SynCohort_P08_S1	0.166	3507	1334	2294	1473
SynCohort_P03_S1	SynCohort_P09_S1	0.076	3118	1670	3056	1182
SynCohort_P03_S1	SynCohort_P10_S1	0.106	4672	1661	4216	1800
SynCohort_P03_S1	SynCohort_P11_S1	0.142	2208	1486	3708	1915
SynCohort_P03_S1	SynCohort_P12_S1	0.059	2222	926	3633	1715
SynCohort_P03_S1	SynCohort_P13_S1	0.034	4171	1699	4548	2028
SynCohort_P03_S1	SynCohort_P14_S1	0.042	4860	2109	2832	1741
SynCohort_P04_S1	SynCohort_P05_S1	0.092	2589	1000	4251	2754
SynCohort_P04_S1	SynCohort_P06_S1	0.1	3308	1142	2547	1561
SynCohort_P04_S1	SynCohort_P07_S1	0.037	2610	1688	4480	2251
SynCohort_P04_S1	SynCohort_P08_S1	0.226	4777	2818	3798	2335
SynCohort_P04_S1	SynCohort_P09_S1	0.104	3678	2480	2102	644
SynCohort_P04_S1	SynCohort_P10_S1	0.173	3125	2091	3514	1784
SynCohort_P04_S1	SynCohort_P11_S1	0.079	2493	857	3711	2317
SynCohort_P04_S1	SynCohort_P12_S1	0.326	4911	2119	4141	2530
SynCohort_P04_S1	SynCohort_P13_S1	0.02	3152	1870	3272	2252
SynCohort_P04_S1	SynCohort_P14_S1	0.183	3457	1243	4163	2269
SynCohort_P05_S1	SynCohort_P06_S1	0.162	2661	1548	2773	1172
SynCohort_P05_S1	SynCohort_P07_S1	0.127	3004	1023	4755	1928
SynCohort_P05_S1	SynCohort_P08_S1	0.25	3958	2164	2863	1595
SynCohort_P05_S1	SynCohort_P09_S1	0.229	4259	2605	4816	3303
SynCohort_P05_S1	SynCohort_P10_S1	0.081	2596	1380	4859	2237
SynCohort_P05_S1	SynCohort_P11_S1	0.146	2857	1443	2431	760
SynCohort_P05_S1	SynCohort_P12_S1	0.139	2598	1078	4000	1402
SynCohort_P05_S1	SynCohort_P13_S1	0.198	3699	1152	4829	2996
SynCohort_P05_S1	SynCohort_P14_S1	0.208	2504	1062	3328	1410
SynCohort_P06_S1	SynCohort_P07_S1	0.233	4831	2320	3380	1871
SynCohort_P06_S1	SynCohort_P08_S1	0.222	3513	1177	4478	2129
SynCohort_P06_S1	SynCohort_P09_S1	0.258	2141	1071	4039	2034
SynCohort_P06_S1	SynCohort_P10_S1	0.372	4663	3262	2878	1265
SynCohort_P06_S1	SynCohort_P11_S1	0.217	2590	984	3862	1576
SynCohort_P06_S1	SynCohort_P12_S1	0.221	2561	1694	3666	2005
SynCohort_P06_S1	SynCohort_P13_S1	0.181	3698	1274	3620	1661
SynCohort_P06_S1	SynCohort_P14_S1	0.016	3759	2039	4778	1596
SynCohort_P07_S1	SynCohort_P08_S1	0.026	4910	2112	2947	2021
SynCohort_P07_S1	SynCohort_P09_S1	0.017	2768	1784	3109	1978
SynCohort_P07_S1	SynCohort_P10_S1	0.278	4398	1744	3038	1472
SynCohort_P07_S1	SynCohort_P11_S1	0.007	2415	1014	2636	979
SynCohort_P07_S1	SynCohort_P12_S1	0.244	2735	1094	4810	2117
SynCohort_P07_S1	SynCohort_P13_S1	0.168	4587	2685	2875	1348
SynCohort_P07_S1	SynCohort_P14_S1	0.123	3854	1173	4987	1875
SynCohort_P08_S1	SynCohort_P09_S1	0.072	2854	1343	2440	1395
SynCohort_P08_S1	SynCohort_P10_S1	0.038	3960	1886	4554	1931
SynCohort_P08_S1	SynCohort_P11_S1	0.087	4842	2710	3799	2343
SynCohort_P08_S1	SynCohort_P12_S1	0.139	3377	2132	4509	2194
SynCohort_P08_S1	SynCohort_P13_S1	0.271	2738	1459	3885	1261
SynCohort_P08_S1	SynCohort_P14_S1	0.259	3595	2339	3362	1126
SynCohort_P09_S1	SynCohort_P10_S1	0.106	4233	1751	4412	1637
SynCohort_P09_S1	SynCohort_P11_S1	0.091	2462	1705	2364	1535
SynCohort_P09_S1	SynCohort_P12_S1	0.202	4600	2837	4893	2280
SynCohort_P09_S1	SynCohort_P13_S1	0.043	3934	2132	3610	1861
SynCohort_P09_S1	SynCohort_P14_S1	0.211	4952	3094	4760	1606
SynCohort_P10_S1	SynCohort_P11_S1	0.186	2481	890	3624	2433
SynCohort_P10_S1	SynCohort_P12_S1	0.2	2609	1052	2317	1234
SynCohort_P10_S1	SynCohort_P13_S1	0.12	4520	2608	3675	2336
SynCohort_P10_S1	SynCohort_P14_S1	0.019	3591	1521	4932	2286
SynCohort_P11_S1	SynCohort_P12_S1	0.012	2349	1517	3485	2330
SynCohort_P11_S1	SynCohort_P13_S1	0.222	4476	2562	3666	2536
SynCohort_P11_S1	SynCohort_P14_S1	0.136	4534	3120	4759	1601
SynCohort_P12_S1	SynCohort_P13_S1	0.073	2924	1022	3049	987
SynCohort_P12_S1	SynCohort_P14_S1	0.069	4710	2904	4833	2840
SynCohort_P13_S1	SynCohort_P14_S1	0.263	4172	2185	4905	2249
